word,count
set,7026
sets,5389
infinite,4220
one,3696
numbers,3149
every,3019
finite,2704
impossible,2485
theory,2359
number,2218
given,2168
subset,2159
natural,1999
using,1991
subsets,1944
cardinal,1796
axiom,1684
cantor,1670
elements,1604
two,1572
without,1571
inexpressible,1558
cannot,1556
exists,1501
ab,1442
thousand,1306
defined,1267
function,1253
theorem,1239
among,1237
textstyle,1161
infinitely,1156
within,1154
order,1154
cardinality,1142
infinity,1136
proof,1118
large,1114
axioms,1099
zermelo,1076
via,1076
element,1064
real,1056
power,1039
example,1035
space,1032
equal,1032
exactly,991
chateau,978
thus,965
functions,956
exist,954
called,944
loves,936
universe,930
always,928
prove,928
metric,924
definition,923
integers,914
used,899
mathematics,892
countable,892
spaces,888
different,867
things,854
classes,848
possible,848
whose,829
countably,824
larger,814
proper,811
therefore,808
instead,805
however,802
operations,792
strong,786
mathematical,784
collection,782
abound,761
fall,760
count,753
cantors,749
suddenly,745
analysis,740
certain,739
fraenkel,732
less,730
limit,728
properties,726
und,714
model,714
proofs,708
pass,704
empty,702
achieve,701
wise,700
form,697
hell,697
union,696
uncountable,692
shows,676
blood,668
compact,665
implies,659
map,655
window,655
contains,653
crucified,651
arithmetic,650
open,649
equivalent,644
strictly,642
season,635
fingers,628
tracing,621
towards,619
une,617
least,616
against,609
axiomatic,605
cuts,605
tears,603
inequality,603
non,602
leer,600
times,589
pendulum,585
hence,584
general,583
image,582
bad,582
greater,581
proved,580
sequences,579
saw,578
ordered,576
en,575
us,568
another,560
topological,560
binary,556
paradox,554
geometry,553
sequence,552
offer,551
euclidean,549
maps,549
violently,548
prologue,547
models,540
frac,539
point,539
often,538
several,538
logic,536
cardinals,529
scattered,528
zfc,526
rational,521
continuity,517
hypothesis,517
enfer,516
continuum,516
results,515
hold,515
logical,514
night,514
basic,513
limits,513
time,512
divine,509
choice,508
around,505
algebra,504
made,503
bc,501
tree,500
till,493
arbitrarily,492
life,491
universal,489
matter,489
define,489
introduced,486
algebraic,486
das,485
unique,483
counting,480
man,480
either,480
indexed,476
problem,476
nets,474
ordinal,473
taking,471
equivalence,470
crystal,468
common,467
upon,463
size,461
notion,460
enough,459
way,458
roughly,456
consistency,456
unto,454
otherwise,453
nonempty,453
follows,451
work,443
bigcup,443
objects,442
proving,442
simply,441
makes,440
complete,439
examples,436
required,436
topology,433
card,431
definitions,431
written,426
hungers,425
together,422
satisfy,421
include,419
awake,416
join,414
sometimes,413
generally,411
sense,410
regarding,409
points,408
containing,408
arbitrary,403
small,402
chosen,401
principle,400
naive,396
distinct,395
satisfies,392
thou,392
cf,391
family,391
due,390
eventually,387
ac,385
shown,383
satisfying,382
line,381
independent,378
intersection,377
recursive,377
true,377
naturally,374
old,374
holds,374
saison,372
mad,370
foundations,370
including,370
ways,368
vertigos,368
cd,367
case,367
structure,366
until,366
various,366
gives,363
sizes,362
induction,361
uses,361
mapping,360
relation,360
based,360
denotes,358
notation,357
perhaps,356
away,356
turn,355
outside,354
describe,354
smaller,352
exponentiation,351
converges,351
linear,351
fail,349
construction,347
pairs,346
zero,346
far,345
continuous,344
beyond,340
contain,340
hieronymo,340
ever,339
standard,339
similar,339
denoted,339
complement,338
systems,338
ordinals,335
aleph,335
throughout,334
integer,333
bijection,333
result,332
formally,332
product,332
bounded,331
something,330
produce,330
ad,328
generalized,327
meaning,324
stronger,324
10,323
bernays,322
defines,322
intuitive,322
abc,320
considered,320
indeed,320
tiresias,319
left,318
rule,317
correspondence,317
directly,317
members,317
values,317
von,315
defining,314
notions,312
diagonal,311
length,310
worthless,310
laws,310
theories,310
takes,310
part,308
hast,308
cardinalities,308
terms,308
distance,307
consider,307
language,307
welcome,306
foot,305
extension,305
neumann,304
class,304
age,304
lines,303
unions,303
dedekind,303
states,302
contained,302
plane,302
powerset,302
sank,302
similarly,301
de,300
back,299
showed,299
along,299
cut,298
shell,298
inverse,297
collections,297
ridiculous,296
everywhere,294
del,294
intervals,293
belong,293
forms,293
showing,293
induced,293
end,292
quotient,291
construct,290
againe,290
tendencies,288
rank,288
urges,288
sunset,287
existence,287
related,287
classical,287
base,285
identity,285
allow,284
linearly,284
specifically,283
concern,283
allows,283
irrational,282
includes,282
hieronymos,281
means,280
property,280
began,278
perfection,278
