rank,word,count
1,set,7026
2,sets,5389
3,infinite,4220
4,one,3696
5,numbers,3149
6,every,3019
7,finite,2704
8,impossible,2485
9,theory,2359
10,number,2218
11,given,2168
12,subset,2159
13,natural,1999
14,using,1991
15,subsets,1944
16,cardinal,1796
17,axiom,1684
18,cantor,1670
19,elements,1604
20,two,1572
21,without,1571
22,inexpressible,1558
23,cannot,1556
24,exists,1501
25,ab,1442
26,thousand,1306
27,defined,1267
28,function,1253
29,theorem,1239
30,among,1237
31,textstyle,1161
32,infinitely,1156
33,within,1154
34,order,1154
35,cardinality,1142
36,infinity,1136
37,proof,1118
38,large,1114
39,axioms,1099
40,zermelo,1076
41,via,1076
42,element,1064
43,real,1056
44,power,1039
45,example,1035
46,space,1032
47,equal,1032
48,exactly,991
49,chateau,978
50,thus,965
51,functions,956
52,exist,954
53,called,944
54,loves,936
55,universe,930
56,always,928
57,prove,928
58,metric,924
59,definition,923
60,integers,914
61,used,899
62,mathematics,892
63,countable,892
64,spaces,888
65,different,867
66,things,854
67,classes,848
68,possible,848
69,whose,829
70,countably,824
71,larger,814
72,proper,811
73,therefore,808
74,instead,805
75,however,802
76,operations,792
77,strong,786
78,mathematical,784
79,collection,782
80,abound,761
81,fall,760
82,count,753
83,cantors,749
84,suddenly,745
85,analysis,740
86,certain,739
87,fraenkel,732
88,less,730
89,limit,728
90,properties,726
91,und,714
92,model,714
93,proofs,708
94,pass,704
95,empty,702
96,achieve,701
97,wise,700
98,form,697
99,hell,697
100,union,696
