rank,word,count
1,thanks,975
2,one,949
3,tomorrow,836
4,time,815
5,two,789
6,good,685
7,thank,644
8,back,643
9,set,593
10,eq,531
11,without,521
12,space,518
13,theorem,502
14,today,497
15,us,468
16,night,447
17,soon,431
18,ac,429
19,enough,406
20,using,392
21,similar,386
22,done,383
23,algebra,375
24,point,366
25,ab,361
26,evening,356
27,et,355
28,please,353
29,subset,353
30,la,347
31,work,346
32,solutions,343
33,points,341
34,further,339
35,yo,338
36,later,331
37,seems,328
38,within,326
39,lines,326
40,defined,323
41,given,323
42,always,322
43,whats,317
44,every,313
45,several,312
46,used,312
47,morning,310
48,closed,307
49,proof,305
50,line,296
51,consider,295
52,locks,292
53,ya,289
54,solving,288
55,equal,287
56,god,286
57,de,282
58,algebraic,281
59,sets,280
60,something,279
61,wrong,278
62,day,278
63,less,276
64,distance,273
65,continuous,271
66,way,266
67,function,264
68,problems,264
69,stop,257
70,lets,257
71,makes,256
72,hair,256
73,going,254
74,yields,253
75,interval,253
76,au,251
77,open,249
78,2010,244
79,hmmm,240
80,least,239
81,al,237
82,everyone,237
83,boundary,236
84,equation,236
85,eyes,235
86,log,233
87,exactly,233
88,spaces,233
89,elements,231
90,hours,230
91,door,227
92,10,224
93,another,223
94,nothing,223
95,hence,222
96,implies,222
97,en,221
98,via,219
99,follows,217
100,rt,216
